Kalorie,Kwasy.tłuszczowe.nasycone,Tłuszcze.wielonienasycone,Tłuszcze.jednonienasycone,Tłuszcze.trans,Cholesterol,Sód..mg.,Potas,Błonnik,Cukier,Witamina.A,Witamina.C,Wapń,Żelazo,Tluszcze..g.,Bialko..g.,Weglowodany..g.,Data,Posiłek
439.07142857142856,6.3571428571428585,2.814285714285714,2.014285714285714,0.07142857142857142,72.28571428571429,293.45714285714286,268.04285714285714,3.7285714285714286,24.32857142857143,5.571428571428571,9.142857142857142,6.042857142857143,14.157142857142858,18.542857142857144,13.585714285714285,57.471428571428575,2024-01-18,Kolacja
1283.7023809523812,11.745454545454544,0.6636363636363636,2.7363636363636363,0.12727272727272726,92.0909090909091,1186.5272727272727,321.6727272727273,17.2,22.245454545454546,23.472727272727273,20.599999999999998,6.045454545454544,10.618181818181817,40.45454545454546,52.42727272727272,177.20909090909092,2024-01-18,Obiad
1389.3999999999999,11.745454545454544,0.6636363636363636,2.7363636363636363,0.12727272727272726,92.0909090909091,1186.5272727272727,321.6727272727273,17.2,22.245454545454546,23.472727272727273,20.599999999999998,6.045454545454544,10.618181818181817,40.45454545454546,52.42727272727272,177.20909090909092,2024-01-19,Obiad
399.0833333333333,6.6499999999999995,4.233333333333333,3.8499999999999996,0.3833333333333333,16.849999999999998,171.01666666666665,203.45000000000002,3.9333333333333336,27.416666666666668,2.0,7.1000000000000005,2.533333333333333,10.5,17.083333333333332,6.233333333333333,59.916666666666664,2024-01-19,Przekąski
439.07142857142856,6.3571428571428585,2.814285714285714,2.014285714285714,0.07142857142857142,72.28571428571429,293.45714285714286,268.04285714285714,3.7285714285714286,24.32857142857143,5.571428571428571,9.142857142857142,6.042857142857143,14.157142857142858,18.542857142857144,13.585714285714285,57.471428571428575,2024-01-19,Kolacja
772.4452380952384,11.745454545454544,0.6636363636363636,2.7363636363636363,0.12727272727272726,92.0909090909091,1186.5272727272727,321.6727272727273,17.2,22.245454545454546,23.472727272727273,20.599999999999998,6.045454545454544,10.618181818181817,40.45454545454546,52.42727272727272,177.20909090909092,2024-01-19,Obiad
439.07142857142856,6.3571428571428585,2.814285714285714,2.014285714285714,0.07142857142857142,72.28571428571429,293.45714285714286,268.04285714285714,3.7285714285714286,24.32857142857143,5.571428571428571,9.142857142857142,6.042857142857143,14.157142857142858,18.542857142857144,13.585714285714285,57.471428571428575,2024-01-20,Kolacja
1389.3999999999999,11.745454545454544,0.6636363636363636,2.7363636363636363,0.12727272727272726,92.0909090909091,1186.5272727272727,321.6727272727273,17.2,22.245454545454546,23.472727272727273,20.599999999999998,6.045454545454544,10.618181818181817,40.45454545454546,52.42727272727272,177.20909090909092,2024-01-20,Obiad
558.15,5.890000000000001,1.3399999999999999,2.0300000000000002,0.0,182.48,374.25,173.52,3.6399999999999997,8.01,3.4,7.7700000000000005,6.13,17.78,24.500000000000004,26.929999999999996,48.88000000000001,2024-01-20,Śniadanie
439.07142857142856,6.3571428571428585,2.814285714285714,2.014285714285714,0.07142857142857142,72.28571428571429,293.45714285714286,268.04285714285714,3.7285714285714286,24.32857142857143,5.571428571428571,9.142857142857142,6.042857142857143,14.157142857142858,18.542857142857144,13.585714285714285,57.471428571428575,2024-01-20,Kolacja
174.30714285714294,6.6499999999999995,4.233333333333333,3.8499999999999996,0.3833333333333333,16.849999999999998,171.01666666666665,203.45000000000002,3.9333333333333336,27.416666666666668,2.0,7.1000000000000005,2.533333333333333,10.5,17.083333333333332,6.233333333333333,59.916666666666664,2024-01-20,Przekąski
